"PUBLISHER","BOOK_COUNT"
Maxmillan Publishing Co,1
Aladdin Paperbacks,1
Moon River Publishing,1
Helix Books,1
Lipponcott,1
Innovative Futures Press,1
Positive Power Publishing,1
Cole Publishing Group,1
Quantum Books,1
Bridge-Logos,1
Hiperion,1
Merrigold Press,1
Life Line Press,1
Victory,1
Axis Publishing,1
Marguerite Press,1
HDA Inc,1
Writers Showcase,1
Concordia Publishing House,1
Rockport Publishers,1
Divisions,1
The Smith-digby Company,1
Committee for Constitutional Government Inc,1
J F Ferguson and Associates,1
HarperTrophy,1
Irving Caesar,1
Sydenham Publishers,1
Heffelfinger Publications,1
Center for Positive Thinking,1
Journal of Living,1
Lutterworth Press,1
Mt Shasta Herald,1
Prentice-Hall Inc,1
F Tennyson Neely,1
American Book Co,1
American Book Company,1
Elkin Mathews,1
The Thompson Publishing Ci,1
Mrs Hubert Childe,1
A Jove/ HBJ Book,1
The Paradise Home Library,1
Paper Tiger,1
Congdon & Lattes Inc,1
Cambridge Unviersity Press,1
Avenel Books,1
Sunburst Publillshing,1
Golden West Books,1
Pelican Publishing Company,1
Pacific Press Publishing Assoc,1
The Readers Digest Assoc Inc,1
National Park Service,1
Frederick Fell Inc,1
Western Sales Distributing Inc,1
Hamlyn Publishing Group,1
Llewellyn Publications,1
The Trojan Press,1
A Fawcett Gold Medal Book,1
Hippocrene Books Inc,1
Visitor Publications Inc,1
Berkley Medalion,1
Wiley Publishing,1
MlM University,1
Heallth Communications Inc,1
Wings Books,1
Baronet Books,1
First MIT Press,1
Western Publishing Co Inc,1
StMartins Press,1
Twentieth Century Fox,1
Cedco Publishing Col,1
Copernicus,1
Crossway Books,1
Platt & Munk Publishers,1
Taj Books,1
Bedford Books,1
House of Collectibles,1
Phoenix,1
Harper Festival,1
Fred J Miller Inc,1
BBS Public Affairs,1
Hay House,1
Black Dot Publications,1
Thunder Bay Press,1
Doubleday  Page and Co,1
Bell Publishing Co,1
Houthton Mifflin,1
The Harter Publishing Co,1
The Platt & Munk Company Inc,1
American Telephone & Telegraph Co,1
Marshall Cavendish,1
Bruce Publishing Company,1
Doubleday  Doran & Company,1
Harper and Brothers,1
Warner Press,1
H O Marler,1
The British Book Centre,1
Capital City Press,1
Harcourt Brace & Company,1
Mitchell and Hinman,1
M W Ellsworth & Co,1
Published byChatto & Windus London,1
P Blakistons Son and Co,1
E W Stephens,1
F A Owens Co & Hall & McCreary,1
Warner Destiny Books,1
Logus International,1
Hearst Corporation,1
Volume 2 Number 3,1
Summit Books,1
The Dryden Press,1
G P Putnama Sons,1
Western Outdoors,1
World Book,1
Alert Press,1
Horizon,1
Sheffields Publishing Co,1
Lancer Books,1
"1959 Time Inc",1
Unviversity of Oklahoma Press,1
Gibson Greeting Cards,1
Franklin Watts Inc,1
Golden Books,1
Day Printing Corp,1
Littlegreen Inc,1
Louis J Martin & Assoc,1
Fawecett Columbine,1
The Summit Publishing Group,1
Library of Congress,1
Corgi,1
Holly House Press,1
The Heritage Fooundation,1
Clarion Books,1
RiA,1
Alba House,1
Executive Books,1
Mulberry Paperback Book,1
A Ballantine Book,1
Simon Spotlight/NickJr,1
Pentland Press Inc,1
Morrow Junior Books,1
Harper Entertainment,1
Schollastic,1
The Five Mile Press,1
Storey Publishing,1
IUniverse Inc,1
Pegana Press,1
Albert Bonniers Forlan,1
Livermore & Knight Co,1
The Platt & Munk Co,1
U S Department of Commerce,1
Iroquois Publishing Co Inc,1
Harr Wagner Publishing Co,1
McGraw Hill BookCo,1
The United Educators Inc,1
Liveright Publishing,1
Doubleday & Co,1
College Entrance Book,1
South-Western Publishing Co,1
The C V Mosby Co,1
M A Donohue & Co,1
David McKay Publisher,1
John Lane,1
Dent,1
Duffield & Company,1
Robinson Press,1
Jody Smith,1
Atwood Publishing,1
Writers Digest,1
Death Valley 49ers Encampment,1
Virgin Books LTD,1
Zondervan Corp,1
Hearst Marine Books,1
Howell North Books,1
G P Putnam,1
A Del Rey Book,1
William Collins Sons & Co,1
Dell Publishing,1
Futura Publications Limited,1
Jerome Agel,1
Fawcett Crest Book,1
A Trumpet Club Special Edition,1
Bloomberg Press,1
IDG Books,1
Pine Cone Press,1
Dutton Childrens Books,1
Alpha,1
"Come & Get It"" Publishing""",1
University of Washington Press,1
Douglas McIntyre,1
The Mysterious Press,1
Home Planners Inc,1
A Tower Book,1
Gallery Books,1
HarperPaperbacks,1
Camelback Design Group Inc,1
Broderbund,1
Best Seller Books,1
Graffix Natwicks,1
Global Health Ltd,1
Randam House,1
Harmony Books,1
Albert Whitman & Co,1
Kensington Books,1
Tyndale House Pub,1
A Fireside Book,1
Eric Hackett,1
Konemann,1
JG Press,1
Toklat Originals Inc,1
Silver Lining Books,1
